Count,Name,Section
1,Battlefield Raptor,main
2,Bound in Gold,main
1,Codespell Cleric,main
1,Doomskar Oracle,main
1,"Egon, God of Death // Throne of Death",main
3,Elderfang Disciple,main
1,Great Hall of Starnheim,main
1,Iron Verdict,main
1,Kaya's Onslaught,main
1,Koma's Faithful,main
5,Plains,main
2,Poison the Cup,main
2,Priest of the Haunted Edge,main
1,"Reidane, God of the Worthy // Valkmira, Protector's Shield",main
1,Revitalize,main
1,Righteous Valkyrie,main
1,Shimmerdrift Vale,main
2,Snow-Covered Plains,main
1,Snow-Covered Swamp,main
1,Snowfield Sinkhole,main
1,Spectral Steel,main
1,Stalwart Valkyrie,main
5,Swamp,main
2,Vengeful Reaper,main
1,Withercrown,main

