Count,Name,Section
2,Belle of the Brawl,main
1,Blow Your House Down,main
1,Castle Embereth,main
2,Dwarven Mine,main
1,Elite Headhunter,main
1,Embereth Paladin,main
1,Epic Downfall,main
2,Fling,main
1,Forever Young,main
1,Heraldic Banner,main
1,Joust,main
1,Lash of Thorns,main
1,Locthwain Paladin,main
1,Lost Legion,main
5,Mountain,main
1,Opportunistic Dragon,main
1,Order of Midnight // Alter Fate,main
1,Raging Redcap,main
1,Reave Soul,main
1,Revenge of Ravens,main
1,Scorching Dragonfire,main
2,Seven Dwarves,main
7,Swamp,main
1,"Torbran, Thane of Red Fell",main
1,Weaselback Redcap,main
1,Witch's Cottage,main

