Count,Name,Section
1,Almighty Brushwagg,main
1,Back for More,main
1,Blood Curdle,main
1,Boneyard Lurker,main
1,Call of the Death-Dweller,main
1,Capture Sphere,main
2,Cavern Whisperer,main
1,Charge of the Forever-Beast,main
1,Chittering Harvester,main
1,Crystacean,main
1,Duskfang Mentor,main
1,Emergent Ultimatum,main
1,Evolving Wilds,main
2,Facet Reader,main
5,Forest,main
1,Greater Sandwurm,main
4,Island,main
1,Ominous Seas,main
1,Sudden Spinnerets,main
4,Swamp,main
1,Thieving Otter,main
1,Thornwood Falls,main
1,Titans' Nest,main
1,Unexpected Fangs,main
1,Voracious Greatshark,main
1,Zagoth Crystal,main
1,Zagoth Mamba,main
1,Zagoth Triome,main

