Count,Name,Section
2,Baloth Gorger,main
1,"Chandra, Bold Pyromancer",main
2,Chandra's Outburst,main
3,Elfhame Druid,main
1,Fiery Intervention,main
1,Fight with Fire,main
3,Fire Elemental,main
11,Forest,main
1,Gaea's Protector,main
1,Ghitu Chronicler,main
2,Gift of Growth,main
1,Gilded Lotus,main
1,"Grunn, the Lonely King",main
3,Karplusan Hound,main
1,Krosan Druid,main
2,Llanowar Elves,main
1,"Marwyn, the Nurturer",main
11,Mountain,main
1,Pierce the Sky,main
1,Primordial Wurm,main
4,Pyromantic Pilgrim,main
2,Shivan Fire,main
4,Timber Gorge,main

