Count,Name,Section
1,Brokers Hideout,main
1,Cutthroat Contender,main
1,Faerie Vandal,main
1,Fake Your Own Death,main
1,Getaway Car,main
1,Gilded Pinions,main
4,Island,main
1,Kill Shot,main
1,Knockout Blow,main
2,Ledger Shredder,main
1,Majestic Metamorphosis,main
1,Nimble Larcenist,main
1,Obscura Initiate,main
1,Obscura Storefront,main
1,Out of the Way,main
1,Paragon of Modernity,main
4,Plains,main
1,Psychic Pickpocket,main
1,"Queza, Augur of Agonies",main
3,Raffine's Informant,main
1,Security Bypass,main
1,Sky Crier,main
1,Skybridge Towers,main
1,Sleep with the Fishes,main
4,Swamp,main
1,"Toluz, Clever Conductor",main
1,Vampire Scrivener,main
1,Waterfront District,main

