Count,Name,Section
1,Amaranthine Wall,main
2,Cabal Evangel,main
1,Demonic Vigor,main
1,Fervent Strike,main
1,Fiery Intervention,main
1,Fire Elemental,main
1,Fungal Infection,main
2,Ghitu Lavarunner,main
1,Guardians of Koilos,main
1,Howling Golem,main
1,Keldon Warcaller,main
1,Memorial to War,main
7,Mountain,main
1,Orcish Vandal,main
1,Rite of Belzenlok,main
1,Run Amok,main
1,Settle the Score,main
1,Siege-Gang Commander,main
1,Soul Salvage,main
1,Stronghold Confessor,main
8,Swamp,main
1,Thallid Omnivore,main
1,Warlord's Fury,main
1,Weatherlight,main
1,"Whisper, Blood Liturgist",main

