Count,Name,Section
1,Ancient Animus,main
1,Aven Sentry,main
1,"Baird, Steward of Argive",main
1,Benalish Marshal,main
1,Blessed Light,main
1,Call the Cavalry,main
1,"Danitha Capashen, Paragon",main
1,Elfhame Druid,main
1,"Evra, Halcyon Witness",main
5,Forest,main
1,Gideon's Reproach,main
1,Hinterland Harbor,main
1,Invoke the Divine,main
1,Island,main
1,Llanowar Envoy,main
1,Mammoth Spider,main
2,On Serra's Wings,main
1,Pegasus Courser,main
9,Plains,main
2,Seal Away,main
1,Sergeant-at-Arms,main
1,Skittering Surveyor,main
1,Song of Freyalise,main
1,"Tatyova, Benthic Druid",main
1,Territorial Allosaurus,main
1,Untamed Kavu,main

