Count,Name,Section
3,Arrester's Zeal,main
4,Azorius Guildgate,main
1,Azorius Knight-Arbiter,main
1,Chillbringer,main
2,Code of Constraint,main
3,Concordia Pegasus,main
1,"Dovin, Architect of Law",main
3,Dovin's Automaton,main
2,Dovin's Dismissal,main
4,Elite Arrester,main
10,Island,main
12,Plains,main
2,Prowling Caracal,main
2,Senate Courier,main
1,Sphinx's Insight,main
2,Spirit of the Spires,main
2,Summary Judgment,main
1,Tenth District Veteran,main
1,Unbreakable Formation,main
1,Verity Circle,main
2,Windstorm Drake,main

