Count,Name,Section
1,Arborea Pegasus,main
1,Bull's Strength,main
1,Compelled Duel,main
1,Dawnbringer Cleric,main
1,Dire Wolf Prowler,main
1,Drizzt Do'Urden,main
8,Forest,main
1,Gnoll Hunter,main
1,Grand Master of Flowers,main
1,Hunter's Mark,main
1,"Icingdeath, Frost Tyrant",main
1,Inspiring Bard,main
1,Keen-Eared Sentry,main
1,Minimus Containment,main
1,Monk of the Open Hand,main
1,"Nadaar, Selfless Paladin",main
8,Plains,main
1,Planar Ally,main
1,Prosperous Innkeeper,main
1,Ranger's Longbow,main
1,Sylvan Shepherd,main
1,"Varis, Silverymoon Ranger",main
1,Wandering Troubadour,main
1,You Happen On a Glade,main
1,You Meet in a Tavern,main
1,You're Ambushed on the Road,main
1,Fifty Feet of Rope,sideboard
1,Scaled Herbalist,sideboard
1,Veteran Dungeoneer,sideboard

