Count,Name,Section
1,Argivian Cavalier,main
1,"Baird, Argivian Recruiter",main
1,Benalish Faithbonder,main
1,Captain's Call,main
2,Cleaving Skyrider,main
1,Electrostatic Infantry,main
1,Goblin Picker,main
2,Griffin Protector,main
2,Hammerhand,main
1,Heroic Charge,main
1,Hurloon Battle Hymn,main
1,Jaya's Firenado,main
1,Join Forces,main
2,Lightning Strike,main
1,Love Song of Night and Day,main
2,Mesa Cavalier,main
2,Molten Monstrosity,main
7,Mountain,main
8,Plains,main
1,Sacred Peaks,main
1,"Tori D'Avenant, Fury Rider",main

