Count,Name,Section
1,Atzocan Seer,main
1,Cleansing Ray,main
1,Colossal Dreadmaw,main
1,Divine Verdict,main
1,Evolving Wilds,main
6,Forest,main
2,Frilled Deathspitter,main
2,Hunt the Weak,main
5,Mountain,main
1,Mutiny,main
1,Naturalize,main
2,Needletooth Raptor,main
1,Orazca Frillback,main
1,Overgrown Armasaur,main
4,Plains,main
1,Plummet,main
1,Raging Regisaur,main
1,Shake the Foundations,main
1,Snubhorn Sentry,main
1,Sun Sentinel,main
1,Sun-Collared Raptor,main
1,Sun-Crested Pterodon,main
1,Tilonalli's Crown,main
1,Traveler's Amulet,main
1,"Zetalpa, Primal Dawn",main

