Count,Name,Section
1,Act of Treason,main
1,Anvilwrought Raptor,main
1,Cavalier of Flame,main
1,"Chandra, Acolyte of Flame",main
3,Chandra's Embercat,main
1,Chandra's Outrage,main
1,Evolving Wilds,main
1,Fire Elemental,main
7,Forest,main
1,Fry,main
1,"Gargos, Vicious Watcher",main
1,Lavakin Brawler,main
1,Mask of Immolation,main
1,Meteor Golem,main
8,Mountain,main
1,Natural End,main
1,Netcaster Spider,main
1,Plummet,main
2,Pulse of Murasa,main
1,Scampering Scorcher,main
2,Scorch Spitter,main
1,Shock,main
1,Thicket Crasher,main

