Count,Name,Section
1,"Aegar, the Freezing Flame",main
1,Alrund's Epiphany,main
1,Behold the Multiverse,main
1,Berg Strider,main
1,Bind the Monster,main
2,Breakneck Berserker,main
1,Dwarven Hammer,main
1,Dwarven Reinforcements,main
1,Glacial Floodplain,main
1,Ice Tunnel,main
2,Inga Rune-Eyes,main
1,Invasion of the Giants,main
4,Island,main
1,Littjara Kinseekers,main
1,"Magda, Brazen Outlaw",main
2,Mistwalker,main
6,Mountain,main
1,Provoke the Trolls,main
1,Quakebringer,main
1,Ravenform,main
1,Run Amok,main
1,Shackles of Treachery,main
2,Snow-Covered Island,main
2,Snow-Covered Mountain,main
1,Undersea Invader,main
2,Vault Robber,main

