Count,Name,Section
3,Ajani's Pridemate,main
1,Bond of Discipline,main
4,Charmed Stray,main
1,Command the Dreadhorde,main
3,Cruel Celebrant,main
4,Desperate Lunge,main
2,Enforcer Griffin,main
1,"Gideon, the Oathsworn",main
2,Gideon's Battle Cry,main
3,Gideon's Company,main
1,"Kaya, Bane of the Dead",main
3,Makeshift Battalion,main
1,Oath of Kaya,main
3,Ob Nixilis's Cruelty,main
4,Orzhov Guildgate,main
12,Plains,main
8,Swamp,main
2,Trusted Pegasus,main
1,Vampire Opportunist,main
1,War Screecher,main

