Count,Name,Section
3,Boros Guildgate,main
1,Candlelight Vigil,main
1,Collar the Culprit,main
1,Command the Storm,main
1,Fresh-Faced Recruit,main
2,Garrison Sergeant,main
1,Goblin Banneret,main
1,Hammer Dropper,main
1,Healer's Hawk,main
1,Integrity // Intervention,main
1,Lava Coil,main
1,Legion Guildmage,main
1,Light of the Legion,main
1,Luminous Bonds,main
6,Mountain,main
2,Parhelion Patrol,main
7,Plains,main
1,Roc Charger,main
1,Skyknight Legionnaire,main
1,Swathcutter Giant,main
1,Swiftblade Vindicator,main
1,Sworn Companions,main
2,Take Heart,main
1,Truefire Captain,main

