Count,Name,Section
1,Artful Takedown,main
1,Citywatch Sphinx,main
1,Dead Weight,main
2,Deadly Visit,main
2,Dimir Guildgate,main
1,Dimir Locket,main
1,Dimir Spybug,main
1,Discovery // Dispersal,main
1,Disinformation Campaign,main
1,Enhanced Surveillance,main
1,Gateway Plaza,main
6,Island,main
1,"Lazav, the Multifarious",main
1,Mephitic Vapors,main
1,Nightveil Predator,main
2,Nightveil Sprite,main
2,Notion Rain,main
1,Passwall Adept,main
1,Rampaging Monument,main
7,Swamp,main
2,Thief of Sanity,main
1,Thoughtbound Phantasm,main
1,Whisper Agent,main
1,Whispering Snitch,main

