Count,Name,Section
1,Aspect of Wolf,main
1,Cockatrice,main
1,Craw Giant,main
1,Craw Wurm,main
1,Earthlore,main
1,Elvish Archers,main
1,Feral Thallid,main
1,Flying Carpet,main
20,Forest,main
1,Fyndhorn Elder,main
1,Gaea's Liege,main
2,Giant Growth,main
1,Giant Spider,main
1,Hidden Path,main
1,Joven's Ferrets,main
1,Killer Bees,main
2,Llanowar Elves,main
2,Lure,main
1,Maddening Wind,main
1,Radjan Spirit,main
3,Scryb Sprites,main
1,Stream of Life,main
1,Thicket Basilisk,main
1,Venom,main
3,Wild Growth,main
1,Willow Faerie,main
1,Wolverine Pack,main
1,Wooden Sphere,main
1,Wormwood Treefolk,main

