Count,Name,Section
1,Almighty Brushwagg,main
1,Back for More,main
1,Blood Curdle,main
1,Boneyard Lurker,main
1,Call of the Death-Dweller,main
1,Cavern Whisperer,main
1,Checkpoint Officer,main
1,Chittering Harvester,main
1,Corpse Churn,main
1,Duskfang Mentor,main
1,Essence Symbiote,main
1,Evolving Wilds,main
4,Forest,main
1,Garrison Cat,main
1,Grimdancer,main
1,Helica Glider,main
1,Huntmaster Liger,main
1,Indatha Triome,main
1,Mutual Destruction,main
1,Necropanther,main
1,"Nethroi, Apex of Death",main
4,Plains,main
1,Savai Sabertooth,main
2,Scoured Barrens,main
1,Skull Prophet,main
1,Spontaneous Flight,main
1,Sudden Spinnerets,main
4,Swamp,main
1,Unbreakable Bond,main
1,Zagoth Mamba,main

