Count,Name,Section
2,Band Together,main
1,Bioessence Hydra,main
3,Bloom Hulk,main
2,Courage in Crisis,main
11,Forest,main
4,Guildpact Informant,main
10,Island,main
1,"Jace, Arcane Strategist",main
3,Jace's Projection,main
2,Jace's Ruse,main
1,Jace's Triumph,main
1,"Kiora, Behemoth Beckoner",main
2,Kiora's Dambreaker,main
2,Merfolk Skydiver,main
2,New Horizons,main
3,Pollenbright Druid,main
1,Primordial Wurm,main
4,Simic Guildgate,main
1,Spark Double,main
2,Stealth Mission,main
2,Wardscale Crocodile,main

