Count,Name,Section
1,Adamant Will,main
1,Arvad the Cursed,main
1,"Aryel, Knight of Windgrace",main
1,Cabal Evangel,main
2,Call the Cavalry,main
1,Drudge Sentinel,main
1,Dub,main
1,"Evra, Halcyon Witness",main
1,Howling Golem,main
2,Jousting Lance,main
1,"Karn, Scion of Urza",main
1,Memorial to Folly,main
1,Mesa Unicorn,main
9,Plains,main
2,Sergeant-at-Arms,main
2,Serra Disciple,main
1,Shield of the Realm,main
1,Sparring Construct,main
1,Stronghold Confessor,main
6,Swamp,main
1,"Traxos, Scourge of Kroog",main
2,Voltaic Servant,main

