Count,Name,Section
1,A Tale for the Ages,main
1,Bespoke Battlegarb,main
1,Charmed Clothier,main
2,Dragon Mantle,main
1,Edgewall Inn,main
1,Edgewall Pack,main
1,Embereth Veteran,main
2,Harried Spearguard,main
1,Heartflame Duelist // Heartflame Slash,main
1,Intangible Virtue,main
1,"Kellan, the Fae-Blooded // Birthright Boon",main
2,Merry Bards,main
8,Mountain,main
7,Plains,main
1,Protective Parents,main
1,Raid Bombardment,main
1,Redcap Gutter-Dweller,main
2,Return Triumphant,main
1,Tattered Ratter,main
1,Unassuming Sage,main
3,Werefox Bodyguard,main

