Count,Name,Section
2,Abnormal Endurance,main
3,Arisen Gorgon,main
2,Blood Divination,main
1,Demon of Catastrophes,main
2,Diregraf Ghoul,main
1,Gravedigger,main
1,Gravewaker,main
2,Lich's Caress,main
1,"Liliana, the Necromancer",main
2,Liliana's Spoils,main
1,Meteor Golem,main
2,Murder,main
1,Reassembling Skeleton,main
1,Skeleton Archer,main
2,Skymarch Bloodletter,main
1,Sovereign's Bite,main
1,Strangling Spores,main
26,Swamp,main
4,Tattered Mummy,main
2,Vampire Sovereign,main
2,Walking Corpse,main

