Count,Name,Section
1,Aerial Guide,main
1,Ambuscade,main
1,Cartouche of Zeal,main
1,Defiant Khenra,main
1,Earthshaker Khenra,main
2,Feral Prowler,main
6,Forest,main
1,Gift of Strength,main
4,Island,main
1,Khenra Charioteer,main
1,Khenra Scrapper,main
1,Manglehorn,main
6,Mountain,main
1,Nef-Crop Entangler,main
1,Nimble-Blade Khenra,main
2,Oashra Cultivator,main
1,Proven Combatant,main
1,Pyramid of the Pantheon,main
1,Spellweaver Eternal,main
1,Struggle // Survive,main
1,Synchronized Strike,main
1,The Locust God,main
1,Thresher Lizard,main
2,Trueheart Twins,main

