Count,Name,Section
1,"Barrin, Tolarian Archmage",main
2,Burlfist Oak,main
7,Forest,main
7,Island,main
1,Jeskai Elder,main
1,Llanowar Visionary,main
1,Lorescale Coatl,main
1,Mazemind Tome,main
2,Opt,main
2,Portcullis Vine,main
2,Read the Tides,main
1,Rousing Read,main
1,Sanctum of Calm Waters,main
1,Setessan Training,main
2,Skyscanner,main
1,Teferi's Ageless Insight,main
1,Teferi's Protege,main
2,Teferi's Tutelage,main
1,Temple of Mystery,main
1,Thornwood Falls,main
2,Unsubstantiate,main
2,Frantic Inventory,sideboard
1,Gnarled Sage,sideboard
1,Library Larcenist,sideboard
2,Track Down,sideboard
2,Wall of Runes,sideboard

