Count,Name,Section
1,"Ajani, the Greathearted",main
1,Battlefield Promotion,main
1,Bulwark Giant,main
1,Centaur Nurturer,main
1,Charmed Stray,main
1,Courage in Crisis,main
8,Forest,main
1,Giant Growth,main
1,Guild Globe,main
1,"Huatli, the Sun's Heart",main
1,Interplanar Beacon,main
1,"Karn, the Great Creator",main
1,Kronch Wrangler,main
1,Loxodon Sergeant,main
1,Makeshift Battalion,main
1,Mana Geode,main
1,"Nahiri, Storm of Stone",main
1,"Nissa, Who Shakes the World",main
1,Nissa's Triumph,main
1,Paradise Druid,main
7,Plains,main
1,Pollenbright Druid,main
1,Pouncing Lynx,main
1,Primordial Wurm,main
1,Teyo's Lightshield,main
1,Trusted Pegasus,main
1,Ugin's Conjurant,main
1,Parhelion II,sideboard

