Count,Name,Section
1,Blitz Automaton,main
1,Brotherhood's End,main
1,Excavation Explosion,main
2,Fallaji Chaindancer,main
1,Giant Cindermaw,main
1,Heavyweight Demolisher,main
1,"Mishra, Excavation Prodigy",main
2,Mishra's Domination,main
1,Mishra's Juggernaut,main
1,Monastery Swiftspear,main
14,Mountain,main
1,Obliterating Bolt,main
1,Ornithopter,main
1,Pyrrhic Blast,main
1,Raze to the Ground,main
2,Roc Hunter,main
1,Runechanter's Pike,main
1,Sardian Cliffstomper,main
1,Scrapwork Mutt,main
1,Sibling Rivalry,main
1,Swiftgear Drake,main
1,Thran Power Suit,main
1,Tomakul Scrapsmith,main
1,Unleash Shell,main

