Count,Name,Section
1,"Athreos, God of Passage",main
1,Burnished Hart,main
1,Burst Lightning,main
1,Cathar's Companion,main
1,Center Soul,main
1,Dauntless Cathar,main
1,Dragon's Eye Sentry,main
1,Dynacharge,main
1,Forgotten Cave,main
1,Glaring Aegis,main
1,Goblin Assault,main
1,Goblin Fireslinger,main
1,Gods Willing,main
1,Hanweir Lancer,main
1,Kolaghan Stormsinger,main
1,Mimic Vat,main
4,Mountain,main
5,Plains,main
1,"Purphoros, God of the Forge",main
1,Raptor Companion,main
1,Rubblebelt Maaka,main
1,Shadowcloak Vampire,main
1,Silumgar Butcher,main
1,Stalking Stones,main
1,Star of Extinction,main
5,Swamp,main
1,Tarfire,main
1,Vampire Nighthawk,main
1,Whispersilk Cloak,main
1,Borrowed Grace,sideboard
1,Cairn Wanderer,sideboard
1,Certain Death,sideboard
1,Roast,sideboard

