Count,Name,Section
1,"Ashiok, Nightmare Muse",main
1,"Atris, Oracle of Half-Truths",main
1,Blight-Breath Catoblepas,main
1,Devourer of Memory,main
1,Erebos's Intervention,main
1,Final Death,main
1,Gray Merchant of Asphodel,main
4,Island,main
2,Mire's Grasp,main
2,Mogis's Favor,main
2,Nyxborn Marauder,main
1,Rage-Scarred Berserker,main
1,Scavenging Harpy,main
1,Soul-Guide Lantern,main
2,Soulreaper of Mogis,main
10,Swamp,main
1,Temple of Deceit,main
1,Thaumaturge's Familiar,main
1,Thundering Chariot,main
1,"Tymaret, Chosen from Death",main
1,Underworld Charger,main
1,Unknown Shores,main
1,Venomous Hierophant,main
1,Wings of Hubris,main

