Count,Name,Section
1,Adaptive Sporesinger,main
1,Anoint with Affliction,main
1,Bilious Skulldweller,main
1,Blightbelly Rat,main
1,Bonepicker Skirge,main
1,Carnivorous Canopy,main
1,Contagious Vorrac,main
1,Copper Longlegs,main
7,Forest,main
1,"Nissa, Ascended Animist",main
2,Offer Immortality,main
1,Paladin of Predation,main
1,Pestilent Syphoner,main
1,Phyrexian Atlas,main
1,Phyrexian Obliterator,main
1,Plague Nurse,main
1,Predation Steward,main
1,Stinging Hivemaster,main
7,Swamp,main
1,Terramorphic Expanse,main
1,The Mycosynth Gardens,main
1,Tyrranax Atrocity,main
1,"Tyvar, Jubilant Brawler",main
1,Unnatural Restoration,main
1,Venerated Rotpriest,main
1,Viral Spawning,main
1,Whisper of the Dross,main

