Count,Name,Section
1,Beanstalk Giant // Fertile Footsteps,main
3,Bramblefort Fink,main
3,Charmed Sleep,main
2,Faerie Vandal,main
11,Forest,main
3,Frogify,main
3,Garenbrig Carver // Shield's Might,main
10,Island,main
2,Keeper of Fables,main
3,Maraleaf Pixie,main
2,Mistford River Turtle,main
1,"Oko, the Trickster",main
4,Oko's Accomplices,main
2,Oko's Hospitality,main
1,Return of the Wildspeaker,main
4,Thornwood Falls,main
3,Tome Raider,main
1,Tuinvale Treefolk // Oaken Boon,main
1,Wildborn Preserver,main

