Count,Name,Section
2,Bird Admirer // Wing Shredder,main
1,Brood Weaver,main
1,Burly Breaker // Dire-Strain Demolisher,main
1,Consuming Blob,main
1,Crawl from the Cellar,main
1,Dawnhart Rejuvenator,main
1,Dryad's Revival,main
1,Duel for Dominance,main
1,Eaten Alive,main
1,Eccentric Farmer,main
1,Ecstatic Awakener // Awoken Demon,main
1,Evolving Wilds,main
8,Forest,main
1,"Gisa, Glorious Resurrector",main
1,Howl of the Hunt,main
1,Infernal Grasp,main
1,Morbid Opportunist,main
1,No Way Out,main
1,Old Stickfingers,main
1,Olivia's Midnight Ambush,main
1,Siege Zombie,main
1,Snarling Wolf,main
1,Storm the Festival,main
7,Swamp,main
1,Timberland Guide,main
1,Vampire Interloper,main

