Count,Name,Section
1,Abnormal Endurance,main
1,Bogstomper,main
1,Brawl-Bash Ogre,main
1,Diregraf Ghoul,main
1,Doublecast,main
1,"Exava, Rakdos Blood Witch",main
1,Fervent Strike,main
1,Fungal Infection,main
1,Gravedigger,main
1,Guttersnipe,main
1,Hostile Minotaur,main
1,Knight of Malice,main
1,Lava Axe,main
1,Maze Rusher,main
1,Morgue Burst,main
8,Mountain,main
2,Murder,main
1,Rakdos Drake,main
1,Settle the Score,main
1,Skeleton Archer,main
2,Skymarch Bloodletter,main
1,Sparktongue Dragon,main
1,Strangling Spores,main
8,Swamp,main

