Count,Name,Section
1,Chemister's Insight,main
2,Command the Storm,main
1,Direct Current,main
1,Erratic Cyclops,main
3,Fearless Halberdier,main
2,Fire Urchin,main
2,Goblin Electromancer,main
2,Hellkite Whelp,main
10,Island,main
4,Izzet Guildgate,main
1,Leapfrog,main
1,Maximize Altitude,main
12,Mountain,main
1,Muse Drake,main
1,Omnispell Adept,main
1,Passwall Adept,main
4,Precision Bolt,main
1,"Ral, Caller of Storms",main
2,Ral's Dispersal,main
3,Ral's Staticaster,main
1,Rubblebelt Boar,main
1,Sonic Assault,main
1,Vedalken Mesmerist,main
2,Wee Dragonauts,main

