Count,Name,Section
1,Battle Squadron,main
2,Blighted Gorge,main
2,Boggart Brute,main
1,Brittle Effigy,main
2,Brute Strength,main
1,Cleaver Riot,main
1,Ember Hauler,main
2,Forgotten Cave,main
2,Foundry Street Denizen,main
1,Gempalm Incinerator,main
3,Ghostfire,main
1,Goblin Charbelcher,main
1,Goblin Chieftain,main
1,Goblin Diplomats,main
1,Goblin Glory Chaser,main
1,Goblin Goon,main
1,Goblin Grenade,main
1,Goblin Rabblemaster,main
1,Goblin Razerunners,main
2,Goblin Ringleader,main
1,Goblin Tunneler,main
2,Goblin Wardriver,main
1,Hordeling Outburst,main
1,"Krenko, Mob Boss",main
3,Krenko's Command,main
20,Mountain,main
1,Relentless Assault,main
2,Tarfire,main
1,Warren Instigator,main

