Count,Name,Section
1,Acclaimed Contender,main
2,Ardenvale Tactician // Dizzying Swoop,main
4,Garrison Griffin,main
1,Giant Killer // Chop Down,main
2,Inspiring Veteran,main
2,Joust,main
2,Knight of the Keep,main
10,Mountain,main
11,Plains,main
2,Prized Griffin,main
3,Rimrock Knight // Boulder Rush,main
1,"Rowan, Fearless Sparkmage",main
3,Rowan's Battleguard,main
2,Rowan's Stalwarts,main
3,Scorching Dragonfire,main
2,Venerable Knight,main
2,Weapon Rack,main
1,Weaselback Redcap,main
4,Wind-Scarred Crag,main
2,Youthful Knight,main

