Count,Name,Section
1,Akki Ember-Keeper,main
1,Akki Ronin,main
1,Ambitious Assault,main
1,Ancestral Katana,main
1,Banishing Slash,main
1,Dragonfly Suit,main
1,Eiganjo Uprising,main
2,Explosive Entry,main
1,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,main
1,"Heiko Yamazaki, the General",main
1,"Isshin, Two Heavens as One",main
2,Mothrider Patrol,main
5,Mountain,main
1,Ninja's Kunai,main
6,Plains,main
1,Rabbit Battery,main
1,"Raiyuu, Storm's Edge",main
1,Repel the Vile,main
1,Searchlight Companion,main
1,Secluded Courtyard,main
2,Selfless Samurai,main
1,Seven-Tail Mentor,main
2,Swamp,main
1,The Shattered States Era // Nameless Conqueror,main
1,The Wandering Emperor,main
1,Uncharted Haven,main
1,Wind-Scarred Crag,main

