Count,Name,Section
1,Blot Out the Sky,main
1,Essence Infusion,main
1,Exhilarating Elocution,main
1,Fracture,main
1,Go Blank,main
1,Guiding Voice,main
1,Hall of Oracles,main
1,Inquisition of Kozilek,main
1,"Killian, Ink Duelist",main
1,Mage Hunter,main
1,Mage Hunters' Onslaught,main
1,Mana Tithe,main
1,Novice Dissector,main
1,Pillardrop Rescuer,main
4,Plains,main
2,Professor's Warning,main
1,Shadrix Silverquill,main
2,Shineshadow Snarl,main
1,Show of Confidence,main
2,Silverquill Apprentice,main
3,Silverquill Campus,main
1,Silverquill Pledgemage,main
1,Spiteful Squad,main
2,Star Pupil,main
1,Study Break,main
5,Swamp,main
1,Tenured Inkcaster,main
1,Academic Probation,sideboard
1,Expanded Anatomy,sideboard
1,Inkling Summoning,sideboard
1,Introduction to Annihilation,sideboard

