Count,Name,Section
1,Augur of Autumn,main
1,Bereaved Survivor // Dauntless Avenger,main
1,Candlegrove Witch,main
1,Candlelit Cavalry,main
1,Chaplain of Alms // Chapel Shieldgeist,main
1,Clarion Cathars,main
1,Clear Shot,main
1,Consuming Blob,main
1,Dryad's Revival,main
1,Duel for Dominance,main
1,Evolving Wilds,main
1,Field of Ruin,main
7,Forest,main
1,Gavony Silversmith,main
1,Howl of the Hunt,main
1,Join the Dance,main
2,Loyal Gryff,main
1,Lunarch Veteran // Luminous Phantom,main
1,Might of the Old Ways,main
1,Mystic Skull // Mystic Monstrosity,main
7,Plains,main
1,Ritual Guardian,main
1,Ritual of Hope,main
1,"Sigarda, Champion of Light",main
1,Snarling Wolf,main
1,Storm the Festival,main
1,Timberland Guide,main

