Count,Name,Section
1,Arlinn's Wolf,main
1,Awakening of Vitu-Ghazi,main
1,Band Together,main
2,Bloom Hulk,main
1,Bolt Bend,main
1,Courage in Crisis,main
1,Domri's Ambush,main
7,Forest,main
1,Gateway Plaza,main
1,Giant Growth,main
2,Goblin Assailant,main
1,Grim Initiate,main
1,Invading Manticore,main
1,Island,main
2,"Jaya, Venerated Firemage",main
2,Jaya's Greeting,main
1,"Krenko, Tin Street Kingpin",main
1,Mana Geode,main
7,Mountain,main
1,New Horizons,main
1,Pollenbright Druid,main
1,Rubblebelt Rioters,main
1,Spark Double,main
1,Vivien's Arkbow,main

