Count,Name,Section
1,Acclaimed Contender,main
1,All That Glitters,main
2,Ardenvale Paladin,main
1,Beloved Princess,main
1,Charmed Sleep,main
1,Corridor Monitor,main
1,"Emry, Lurker of the Loch",main
2,Fortifying Provisions,main
2,Frogify,main
8,Island,main
1,Mantle of Tides,main
1,Merfolk Secretkeeper // Venture Deeper,main
1,Midnight Clock,main
8,Plains,main
2,Shinechaser,main
1,Shining Armor,main
1,So Tiny,main
1,"Syr Alin, the Lion's Claw",main
1,"Syr Elenora, the Discerning",main
1,Weapon Rack,main
1,Witching Well,main
1,Youthful Knight,main

