Count,Name,Section
3,Aesthir Glider,main
2,Befuddle,main
1,Daring Archaeologist,main
1,Divination,main
3,Gideon's Reproach,main
11,Island,main
2,Jhoira's Familiar,main
2,Juggernaut,main
3,Knight of New Benalia,main
4,Meandering River,main
2,"Niambi, Faithful Healer",main
11,Plains,main
2,Relic Runner,main
1,Serra Angel,main
2,Sparring Construct,main
1,"Teferi, Timebender",main
3,Teferi's Sentinel,main
4,Temporal Machinations,main
1,"Tetsuko Umezawa, Fugitive",main
1,"Zahid, Djinn of the Lamp",main

