Count,Name,Section
1,Abnormal Endurance,main
1,Child of Night,main
1,Colossal Dreadmaw,main
1,Doomed Dissenter,main
8,Forest,main
1,Ghirapur Guide,main
1,Giant Spider,main
1,Gravedigger,main
2,Isareth the Awakener,main
2,Lich's Caress,main
1,Meteor Golem,main
1,Murder,main
1,Naturalize,main
1,Oakenform,main
1,Poison-Tip Archer,main
1,Rabid Bite,main
1,Reclamation Sage,main
1,Skeleton Archer,main
1,Skymarch Bloodletter,main
1,Strangling Spores,main
9,Swamp,main
1,Vigilant Baloth,main
1,Wall of Vines,main

