Count,Name,Section
1,Agatha's Champion,main
1,Beanstalk Wurm // Plant Beans,main
2,Brave the Wilds,main
1,Ferocious Werefox // Guard Change,main
16,Forest,main
1,Gruff Triplets,main
1,Hamlet Glutton,main
2,Hollow Scavenger // Bakery Raid,main
1,Howling Galefang,main
1,Redtooth Genealogist,main
2,Return from the Wilds,main
1,Royal Treatment,main
2,Skybeast Tracker,main
1,Stormkeld Vanguard // Bear Down,main
1,Territorial Witchstalker,main
1,Thunderous Debut,main
1,Titanic Growth,main
1,Troublemaker Ouphe,main
1,Unnatural Growth,main
1,Utopia Sprawl,main
1,Verdant Outrider,main

