Count,Name,Section
1,Aeronaut Cavalry,main
1,Aeronaut's Wings,main
1,Air Marshal,main
1,Airlift Chaplain,main
1,Defabricate,main
1,Evolving Wilds,main
8,Island,main
1,Loran's Escape,main
1,Mass Production,main
1,Phalanx Vanguard,main
7,Plains,main
1,Platoon Dispenser,main
1,Recommission,main
1,Recruitment Officer,main
1,Repair and Recharge,main
1,Scrapwork Cohort,main
1,Siege Veteran,main
1,Surge Engine,main
1,Sword of the Meek,main
2,Take Flight,main
1,Urza's Rebuff,main
1,Veteran's Powerblade,main
1,Wing Commando,main
2,Yotian Frontliner,main
1,Yotian Tactician,main

