Count,Name,Section
1,Angelic Edict,main
1,Archon of the Triumvirate,main
1,Armory Guard,main
1,Azorius Charm,main
1,Crosstown Courier,main
1,Dimir Charm,main
1,Dispel,main
1,Dramatic Rescue,main
1,Fatal Fumes,main
1,Haunter of Nightveil,main
1,Inaction Injunction,main
7,Island,main
1,Maze Glider,main
1,Mindstatic,main
1,Obzedat's Aid,main
6,Plains,main
1,Psychic Spiral,main
1,Purge the Profane,main
1,Security Blockade,main
1,Simic Fluxmage,main
1,Stealer of Secrets,main
4,Swamp,main
1,Syndic of Tithes,main
1,Totally Lost,main
1,Uncovered Clues,main
1,Vassal Soul,main

