Count,Name,Section
1,Aven Eternal,main
1,Battlefield Promotion,main
1,Bond of Discipline,main
1,Elite Guardmage,main
1,Enforcer Griffin,main
1,Flux Channeler,main
7,Island,main
1,"Kasmina, Enigmatic Mentor",main
1,Kasmina's Transmutation,main
1,Law-Rune Enforcer,main
1,Makeshift Battalion,main
2,Martyr for the Cause,main
1,"Nahiri, Storm of Stone",main
9,Plains,main
1,Relentless Advance,main
1,Rising Populace,main
1,Saheeli's Silverwing,main
1,Sky Theater Strix,main
1,Stealth Mission,main
1,Sunblade Angel,main
1,Teferi's Time Twist,main
1,The Wanderer,main
1,Totally Lost,main
1,Trusted Pegasus,main
1,Wanderer's Strike,main

