Count,Name,Section
1,Abandon the Post,main
2,Bird Admirer // Wing Shredder,main
2,Burly Breaker // Dire-Strain Demolisher,main
1,Duel for Dominance,main
9,Forest,main
1,Harvesttide Infiltrator // Harvesttide Assailant,main
1,Howl of the Hunt,main
2,Kessig Naturalist // Lord of the Ulvenwald,main
1,Lambholt Harrier,main
1,Moonrager's Slash,main
7,Mountain,main
2,Outland Liberator // Frenzied Trapbreaker,main
1,Pack's Betrayal,main
1,Pestilent Wolf,main
2,Play with Fire,main
1,Plummet,main
1,Spellrune Painter // Spellrune Howler,main
1,Storm the Festival,main
1,Tireless Hauler // Dire-Strain Brawler,main
1,Unnatural Moonrise,main
1,Voldaren Stinger,main

