Count,Name,Section
1,Boarded Window,main
1,Bramble Wurm,main
1,Cemetery Gatekeeper,main
1,Child of the Pack // Savage Packmate,main
2,Daybreak Combatants,main
2,Dormant Grove // Gnarled Grovestrider,main
1,Evolving Wilds,main
2,Flourishing Hunter,main
8,Forest,main
1,Howling Moon,main
1,Howlpack Piper // Wildsong Howler,main
2,Hungry Ridgewolf,main
1,Ill-Tempered Loner // Howlpack Avenger,main
1,Investigator's Journal,main
1,Massive Might,main
7,Mountain,main
1,Nature's Embrace,main
1,Packsong Pup,main
1,Sawblade Slinger,main
1,Sheltering Boughs,main
1,Snarling Wolf,main
1,Voltaic Visionary // Volt-Charged Berserker,main
1,Weary Prisoner // Wrathful Jailbreaker,main

