Revised Edition,,,,,,,,
DeckBox Number,DeckBox Count,Number,Name,Rarity,Color,Artist,1+,4+
185,0,1,Animate Wall,rare,White,Dan Frazier,,
186,0,2,Armageddon,rare,White,Jesper Myrfors,,
187,0,3,Balance,rare,White,Mark Poole,,
188,4,4,Benalish Hero,common,White,Douglas Shuler,X,X
189,2,5,Black Ward,uncommon,White,Dan Frazier,X,
190,1,6,Blessing,rare,White,Julie Baroh,X,
191,1,7,Blue Ward,uncommon,White,Dan Frazier,X,
192,2,8,Castle,uncommon,White,Dameon Willich,X,
193,4,9,Circle of Protection: Black,common,White,Jesper Myrfors,X,X
194,4,10,Circle of Protection: Blue,common,White,Dameon Willich,X,X
195,3,11,Circle of Protection: Green,common,White,Sandra Everingham,X,
196,3,12,Circle of Protection: Red,common,White,Mark Tedin,X,
197,4,13,Circle of Protection: White,common,White,Douglas Shuler,X,X
198,1,14,Conversion,uncommon,White,Jesper Myrfors,X,
199,0,15,Cursade,rare,White,,,
200,3,16,Death Ward,common,White,Mark Poole,X,
201,3,17,Disenchant,common,White,Amy Weber,X,
202,0,18,Eye for an Eye,rare,White,Mark Poole,,
203,0,19,Farmstead,rare,White,Mark Poole,,
204,3,20,Green Ward,uncommon,White,Dan Frazier,X,
205,4,21,Guardian Angel,common,White,Anson Maddocks,X,X
206,2,22,Healing Salve,common,White,Dan Frazier,X,
207,3,23,Holy Armor,common,White,Melissa A. Benson,X,
208,4,24,Holy Strength,common,White,Anson Maddocks,X,X
209,0,25,Island Sanctuary,rare,White,Mark Poole,,
210,0,26,Karma,uncommon,White,Richard Thomas,,
211,2,27,Lance,uncommon,White,Rob Alexander,X,
212,3,28,Mesa Pegasus,common,White,Melissa A. Benson,X,
213,1,29,Northern Paladin,rare,White,Douglas Shuler,X,
214,4,30,Pearled Unicorn,common,White,Cornelius Brudi,X,X
215,1,31,Personal Incarnation,rare,White,Kev Brockschmidt,X,
216,0,32,Purelace,rare,White,Sandra Everingham,,
217,3,33,Red Ward,uncommon,White,Dan Frazier,X,
218,0,34,Resurrection,uncommon,White,Dan Frazier,,
219,0,35,Reverse Damage,rare,White,Dameon Willich,,
220,0,36,Reverse Polarity,uncommon,White,Justin Hampton,,
221,1,37,Righteousness,rare,White,Douglas Shuler,X,
222,3,38,Samite Healer,common,White,Tom W├ñnerstrand,X,
223,0,39,Savannah Lions,rare,White,Daniel Gelon,,
224,1,40,Serra Angel,uncommon,White,Douglas Shuler,X,
225,1,41,Swords to Plowshares,uncommon,White,Jeff A. Menges,X,
