Fourth Edition,,,,,,,,
DeckBox Number,DeckBox Count,Number,Name,Rarity,Color,Artist,1+,4+
251,4,1,Alabaster Potion,common,White,Harold McNeill,X,X
252,1,2,Amrou Kithkin,common,White,Quinton Hoover,X,
253,1,3,Angry Mob,uncommon,White,Drew Tucker,X,
254,0,4,Animate Wall,rare,White,Dan Frazier,,
255,0,5,Armageddon,rare,White,Jesper Myrfors,,
256,0,6,Balance,rare,White,Mark Poole,,
257,2,7,Benalish Hero,common,White,Douglas Shuler,X,
258,1,8,Black Ward,uncommon,White,Dan Frazier,X,
259,0,9,Blessing,rare,White,Julie Baroh,,
260,2,10,Blue Ward,uncommon,White,Dan Frazier,X,
261,2,11,Brainwash,common,White,Pete Venters,X,
262,0,12,Castle,uncommon,White,Dameon Willich,,
263,1,13,Circle of Protection: Artifacts,uncommon,White,Pete Venters,X,
264,1,14,Circle of Protection: Black,common,White,Jesper Myrfors,X,
265,4,15,Circle of Protection: Blue,common,White,Dameon Willich,X,X
266,0,16,Circle of Protection: Green,common,White,Sandra Everingham,,
267,3,17,Circle of Protection: Red,common,White,Mark Tedin,X,
268,2,18,Circle of Protection: White,common,White,Douglas Shuler,X,
269,0,19,Conversion,uncommon,White,Jesper Myrfors,,
270,0,20,Crusade,rare,White,Mark Poole,,
271,1,21,Death Ward,common,White,Mark Poole,X,
272,1,22,Disenchant,common,White,Amy Weber,X,
273,0,23,Divine Transformation,uncommon,White,N├⌐N├⌐ Thomas,,
274,0,24,Elder Land Wurm,rare,White,Quinton Hoover,,
275,0,25,Eye for an Eye,rare,White,Mark Poole,,
276,3,26,Fortified Area,common,White,Randy Asplund-Faith,X,
277,0,27,Green Ward,uncommon,White,Dan Frazier,,
278,1,28,Healing Salve,common,White,Dan Frazier,X,
279,1,29,Holy Armor,common,White,Melissa A. Benson,X,
280,0,30,Holy Strength,common,White,Anson Maddocks,,
281,0,31,Island Sanctuary,rare,White,Mark Poole,,
282,2,32,Karma,uncommon,White,Richard Thomas,X,
283,0,33,Kismet,uncommon,White,Kaja Foglio,,
