Count,Name,Edition,Card Number,Language,Foil,PreRelease
1,Abandon Reason,Eldritch Moon,115,English,,
1,Abandon the Post,Innistrad: Midnight Hunt,127,English,true,
2,Abandon the Post,Innistrad: Midnight Hunt,127,English,,
1,Abandon the Post,Innistrad: Midnight Hunt,127,English,,
1,Abbey Gargoyles,Homelands,101,English,,
1,Abbey Matron,Homelands,102,English,,
1,Abbey Matron,Homelands,103,English,,
1,Aberrant Mind Sorcerer,Adventures in the Forgotten Realms,44,English,,
4,Abnormal Endurance,Core Set 2019,85,English,,
1,Abrade,Innistrad: Crimson Vow,139,English,,
1,Abu Ja'far,Chronicles,57,English,,
1,Abundant Growth,Avacyn Restored,167,English,,
1,Academic Dispute,Strixhaven: School of Mages,91,English,,
1,Academic Probation,Strixhaven: School of Mages,7,English,,
4,Academy Drake,Dominaria,40,English,,
4,Academy Journeymage,Dominaria,41,English,,
1,Academy Raider,Magic 2014 Core Set,124,English,,
2,Acclaimed Contender,Throne of Eldraine,1,English,,
3,Accomplished Automaton,Kaladesh,191,English,,
4,Accumulated Knowledge,Masters 25,40,English,,
1,Acolyte of Affliction,Theros Beyond Death,206,English,,
1,Acquisitions Expert,Zendikar Rising,89,English,,
4,Acrobatic Maneuver,Kaladesh,1,English,,
2,Act of Heroism,Masters 25,1,English,,
1,Act of Heroism,Hour of Devastation,1,English,,
3,Act of Treason,Masters 25,118,English,,
1,Act of Treason,Gatecrash,85,English,,
4,Act of Treason,Magic 2014 Core Set,125,English,,
2,Act of Treason,Magic Origins,129,English,,
4,Act of Treason,Core Set 2019,127,English,,
4,Act of Treason,Ravnica Allegiance,91,English,,
3,Act of Treason,Core Set 2020,124,English,,
4,Active Volcano,Chronicles,43,English,,
4,Adamant Will,Dominaria,2,English,,
1,Adaptive Shimmerer,Ikoria: Lair of Behemoths,1,English,,
1,Adaptive Snapjaw,Gatecrash,113,English,,
2,Adorable Kitten,Unstable,1,English,,
1,Adorned Pouncer,Hour of Devastation,2,English,,
1,Adventure Awaits,Zendikar Rising,177,English,,
1,Adventurous Impulse,Strixhaven Mystical Archive,49,English,,
4,Adventurous Impulse,Dominaria,153,English,,
1,Adventurous Impulse,Ikoria: Lair of Behemoths,142,English,,
3,Advocate of the Beast,Magic 2014 Core Set,164,English,,
1,"Aegar, the Freezing Flame",Kaldheim,321,English,,
3,Aegis of the Heavens,Core Set 2019,1,English,,
3,Aerial Assault,Core Set 2020,1,English,,
3,Aerial Engineer,Core Set 2019,211,English,,
4,Aerial Guide,Hour of Devastation,29,English,,
1,Aerial Maneuver,Gatecrash,1,English,,
1,Aerial Predation,Iconic Masters,154,English,,
1,Aerial Predation,Return to Ravnica,113,English,,
1,Aerial Toastmaster,Unstable,2,English,,
2,Aerial Volley,Magic Origins,168,English,,
4,Aeromunculus,Ravnica Allegiance,152,English,,
4,Aesthir Glider,Dominaria,209,English,,
2,Aether Gust,Core Set 2020,42,English,,
1,Aether Herder,Aether Revolt,102,English,,
3,Aether Storm,Homelands,26,English,,
2,Aether Swooper,Aether Revolt,26,English,,
4,Aether Theorist,Kaladesh,37,English,,
4,Aether Tradewinds,Kaladesh,38,English,,
2,Aether Tunnel,Core Set 2019,43,English,,
1,Aethershield Artificer,Core Set 2019,2,English,,
2,Aethertow,Modern Masters 2017 Edition,205,English,,
2,Affa Protector,Oath of the Gatewatch,14,English,,
2,Ageless Guardian,Strixhaven: School of Mages,8,English,,
1,Aggressive Mammoth,Core Set 2019,302,English,,
4,Aggressive Urge,Rivals of Ixalan,122,English,,
3,Agonizing Syphon,Core Set 2020,83,English,,
1,Ahn-Crop Crasher,Amonkhet,117,English,,
1,Ahn-Crop Invader,War of the Spark,113,English,,
2,Aid the Fallen,War of the Spark,76,English,,
1,Aim for the Head,Innistrad: Crimson Vow,92,English,,
1,Ainok Bond-Kin,Iconic Masters,4,English,,
2,Ainok Survivalist,Masters 25,157,English,,
3,Air Elemental,Revised Edition,47,English,,
2,Air Elemental,Fourth Edition,59,English,,
1,Air-Cult Elemental,Adventures in the Forgotten Realms,45,English,,
3,"Ajani, the Greathearted",War of the Spark,184,English,,
1,Ajani's Last Stand,Core Set 2019,4,English,,
1,Ajani's Pridemate,Mystery Booster,14,English,,
1,Ajani's Pridemate,Core Set 2019,5,English,,
3,Ajani's Pridemate,War of the Spark,4,English,,
3,Ajani's Welcome,Core Set 2019,6,English,,
1,Ajani's Welcome,Core Set 2019,6,English,true,
1,Akoum Flameseeker,Oath of the Gatewatch,101,English,,
2,Akoum Hellhound,Zendikar Rising,133,English,,
1,Akoum Hellhound,Zendikar Rising,299,English,,
2,Akroan Sergeant,Magic Origins,130,English,,
1,Alabaster Kirin,Khans of Tarkir,4,English,,
4,Alabaster Potion,Fourth Edition,251,English,,
1,Aladdin's Lamp,Fourth Edition,309,English,,
1,Aladdin's Ring,Fourth Edition,310,English,,
1,Alchemist's Retrieval,Innistrad: Crimson Vow,47,English,,
1,Alchemist's Vial,Magic Origins,220,English,,
1,"Alesha, Who Smiles at Death",Mystery Booster,837,English,,
1,Ali Baba,Fourth Edition,193,English,,
1,Aliban's Tower,Homelands,76,English,,
2,Aliban's Tower,Homelands,77,English,,
1,Aligned Hedron Network,Battle for Zendikar,222,English,,
1,Alive // Well,Dragon's Maze,121,English,,
1,All That Glitters,Throne of Eldraine,2,English,,
2,Alley Evasion,Aether Revolt,6,English,,
2,Alley Strangler,Aether Revolt,52,English,,
2,Allied Reinforcements,Oath of the Gatewatch,15,English,,
1,Alluring Suitor // Deadly Dancer,Innistrad: Crimson Vow,300,English,true,
1,Almighty Brushwagg,Ikoria: Lair of Behemoths,143,English,,
1,Alms Beast,Gatecrash,141,English,,
1,Alpine Grizzly,Mystery Booster,1116,English,,
1,Alpine Houndmaster,Core Set 2021,215,English,,
1,Alpine Meadow,Kaldheim,248,English,,
1,Alpine Watchdog,Core Set 2021,2,English,,
1,Alrund's Epiphany,Kaldheim,295,English,,
1,Alseid of Life's Bounty,Theros Beyond Death,1,English,,
2,Altar's Reap,Magic 2014 Core Set,84,English,,
3,Altar's Reap,Battle for Zendikar,103,English,,
2,Amaranthine Wall,Dominaria,210,English,,
1,Amateur Auteur,Unstable,3,English,,
4,Ambassador Oak,Masters 25,158,English,,
4,Ambitious Aetherborn,Kaladesh,72,English,,
